repository_name,class_count,loc_total,loc_mean,loc_median,loc_stdev,cbo_mean,cbo_median,cbo_stdev,cbo_min,cbo_max,dit_mean,dit_median,dit_stdev,dit_min,dit_max,lcom_mean,lcom_median,lcom_stdev,lcom_min,lcom_max
conductor,664,47052,70.8614,28.0,143.4553,7.4639,5.0,8.2124,0.0,83.0,1.25,1.0,0.5527,1.0,4.0,78.6747,0.0,646.6733,0.0,14533.0
zookeeper,1768,124290,70.2998,27.0,132.0003,5.7755,3.0,7.4252,0.0,94.0,1.9757,1.0,2.9774,1.0,96.0,37.0854,0.0,388.8457,0.0,12105.0
metersphere,3702,321954,86.9676,15.0,205.3393,6.6894,3.0,11.3745,0.0,143.0,1.2985,1.0,0.5474,1.0,5.0,446.2396,0.0,3759.1636,0.0,102336.0
guice,3886,84793,21.8201,6.0,73.2206,3.8078,3.0,5.4098,0.0,71.0,1.3037,1.0,1.2489,1.0,43.0,8.4622,0.0,77.8651,0.0,2888.0
stetho,588,19241,32.7228,10.0,54.8203,4.3793,3.0,5.3724,0.0,45.0,1.4235,1.0,1.2489,1.0,21.0,7.4966,0.0,31.2481,0.0,465.0
eureka,747,33579,44.9518,18.0,83.4869,5.8461,4.0,6.4123,0.0,61.0,1.2691,1.0,0.7032,1.0,9.0,18.6131,0.0,134.1853,0.0,2926.0
plantuml,4160,200604,48.2221,22.0,94.1358,7.1774,5.0,7.3923,0.0,132.0,1.5135,1.0,0.8591,1.0,19.0,36.2906,1.0,607.3736,0.0,35998.0
GmsCore,1999,58574,29.3017,13.0,52.4364,6.025,5.0,4.9464,0.0,72.0,1.7279,2.0,0.8853,1.0,17.0,13.8754,0.0,67.083,0.0,1081.0
greenDAO,364,18545,50.9478,25.0,73.9624,5.0192,4.0,4.693,0.0,41.0,2.1016,1.0,1.7163,1.0,8.0,47.4533,1.0,241.2834,0.0,3581.0
Matisse,76,3418,44.9737,20.0,58.9748,6.6579,5.0,7.3839,0.0,45.0,1.3947,1.0,0.6341,1.0,4.0,8.0789,0.0,16.1384,0.0,74.0
AndroidViewAnimations,82,965,11.7683,5.0,25.23,3.378,2.0,7.0302,1.0,64.0,1.8049,2.0,0.3987,1.0,2.0,2.2927,0.0,12.8894,0.0,94.0
debezium,3348,218035,65.124,20.0,168.1948,6.8513,5.0,7.5365,0.0,71.0,1.5986,1.0,1.0145,1.0,25.0,60.6535,1.0,566.8467,0.0,26970.0
Mybatis-PageHelper,184,7474,40.6196,23.0,55.5216,5.8207,6.0,4.894,0.0,30.0,1.4565,1.0,0.861,1.0,5.0,29.3913,0.0,189.8227,0.0,2095.0
AndroidSwipeLayout,74,2770,37.4324,6.0,146.2206,3.7162,2.0,4.945,0.0,30.0,1.3243,1.0,0.5993,1.0,3.0,58.9054,0.0,480.2844,0.0,4134.0
android-interview-questions,1,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
xManager,524,21822,41.645,7.0,523.9369,2.0172,2.0,2.6042,0.0,47.0,1.021,1.0,0.2426,1.0,6.0,4.7328,0.0,69.899,0.0,1430.0
Aegis,459,24222,52.7712,21.0,101.7039,7.4292,5.0,9.5163,0.0,86.0,1.7081,1.0,1.0268,1.0,8.0,22.8235,1.0,143.316,0.0,2022.0
jedis,1448,126557,87.4012,26.0,241.1609,5.7831,3.0,8.7733,0.0,158.0,1.4026,1.0,0.8331,1.0,7.0,460.8101,1.0,13684.3873,0.0,520398.0
uCrop,77,4707,61.1299,13.0,102.3817,6.3377,3.0,8.6581,0.0,44.0,1.3636,1.0,0.8415,1.0,7.0,28.9091,1.0,81.5451,0.0,417.0
OpenSearch,19775,1338377,67.6803,24.0,147.459,7.4504,5.0,9.9846,0.0,345.0,1.7254,1.0,1.5112,1.0,141.0,39.4591,1.0,449.8661,0.0,41259.0
Paper,4247,162696,38.3085,15.0,103.0201,6.9548,5.0,12.1026,0.0,311.0,1.6906,1.0,1.3142,1.0,23.0,102.1008,1.0,1611.015,0.0,67973.0
grpc-java,5612,264452,47.1226,12.0,124.3881,5.7103,3.0,8.1437,0.0,100.0,1.4073,1.0,1.0419,1.0,22.0,14.2081,0.0,129.5761,0.0,5460.0
VasSonic,111,7421,66.8559,19.0,119.6428,4.1982,2.0,4.9005,0.0,25.0,1.2793,1.0,0.5904,1.0,4.0,21.6126,0.0,96.0425,0.0,933.0
matrix,1393,79032,56.7351,16.0,103.7998,5.8169,3.0,7.298,0.0,59.0,1.346,1.0,1.0196,1.0,16.0,12.8945,0.0,65.6692,0.0,1325.0
OpenRefine,1408,73894,52.4815,26.0,97.8541,6.4957,5.0,6.3582,0.0,129.0,1.7095,1.0,0.9174,1.0,9.0,13.1491,1.0,59.2221,0.0,1128.0
webmagic,344,8794,25.564,15.0,38.0098,4.532,4.0,3.8717,0.0,29.0,1.1831,1.0,0.5852,1.0,9.0,11.4651,1.0,76.6404,0.0,1252.0
newbee-mall,89,3935,44.2135,29.0,42.2709,5.0337,2.0,6.2458,0.0,27.0,1.0674,1.0,0.4472,1.0,4.0,34.9101,4.0,68.1755,0.0,436.0
realm-java,1912,110167,57.6187,9.0,261.1158,4.3274,2.0,6.8811,0.0,91.0,1.2103,1.0,0.7101,1.0,16.0,51.7484,0.0,656.6609,0.0,25395.0
joyagent-jdgenie,252,9182,36.4365,12.0,74.3589,4.9802,4.0,5.6487,0.0,30.0,1.119,1.0,0.4482,1.0,4.0,4.7341,0.0,17.5112,0.0,139.0
datahub,4177,273419,65.4582,30.0,105.8543,11.3033,9.0,12.8617,0.0,499.0,1.209,1.0,0.5762,1.0,12.0,21.8286,1.0,110.6961,0.0,2657.0
CtCI-6th-Edition,609,21093,34.6355,28.0,26.851,2.1675,2.0,1.5691,0.0,11.0,1.069,1.0,0.3322,1.0,5.0,4.4828,1.0,16.6981,0.0,378.0
ImmersionBar,142,7237,50.9648,19.0,151.2707,6.3521,5.0,7.1133,0.0,57.0,2.1056,2.0,1.0015,1.0,4.0,159.2535,3.0,1752.5199,0.0,20892.0
lawnchair,3506,283677,80.9119,21.0,188.9097,10.7704,5.0,15.4125,0.0,192.0,1.5553,1.0,1.1153,1.0,18.0,193.2273,1.0,2250.0487,0.0,47276.0
jsoup,439,39527,90.0387,27.0,222.143,6.1207,4.0,7.1877,0.0,68.0,1.7654,1.0,3.068,1.0,59.0,229.3554,1.0,1827.9351,0.0,26740.0
spider-flow,161,8748,54.3354,29.0,105.1294,5.3851,4.0,5.1697,0.0,30.0,1.7329,1.0,3.4018,1.0,43.0,20.3292,1.0,49.7851,0.0,300.0
interview,667,27259,40.8681,35.0,33.3775,2.015,2.0,1.2228,0.0,6.0,1.0375,1.0,0.3101,1.0,4.0,3.4093,1.0,13.5578,0.0,325.0
PermissionsDispatcher,119,3184,26.7563,11.0,97.1263,1.6218,0.0,3.2832,0.0,14.0,1.2269,1.0,0.5278,1.0,4.0,34.3782,3.0,327.1934,0.0,3570.0
langchain4j,4340,183334,42.2429,19.0,67.724,6.1855,4.0,6.9034,0.0,71.0,1.2062,1.0,0.6145,1.0,9.0,20.7253,1.0,94.1696,0.0,3921.0
cas,9123,232854,25.5238,13.0,39.2726,10.1468,9.0,7.3794,0.0,86.0,1.4908,1.0,1.0187,1.0,59.0,7.8036,0.0,146.4445,0.0,12858.0
starrocks,11052,872002,78.8999,20.0,198.4062,7.178,3.0,16.6468,0.0,1063.0,1.4583,1.0,1.0288,1.0,35.0,134.3421,0.0,3417.0315,0.0,298288.0
FlycoTabLayout,33,2730,82.7273,16.0,184.9739,6.4545,3.0,8.8674,0.0,33.0,1.5455,1.0,0.7111,1.0,3.0,223.0909,1.0,720.4494,0.0,3118.0
FileDownloader,269,14387,53.4833,18.0,88.3618,4.5279,2.0,5.4496,0.0,30.0,1.6877,1.0,2.5036,1.0,28.0,42.0149,1.0,232.448,0.0,2947.0
jjwt,555,16052,28.9225,9.0,61.0829,5.6396,4.0,6.8583,0.0,70.0,2.0,1.0,2.3853,1.0,42.0,25.8342,1.0,142.1454,0.0,2393.0
SlidingMenu,74,3085,41.6892,13.0,100.4866,5.0811,3.0,5.5684,0.0,30.0,1.9459,1.0,1.5867,1.0,7.0,47.4459,0.0,228.9914,0.0,1328.0
pkl,1696,68279,40.2588,13.0,104.1184,6.2535,4.0,8.1866,0.0,188.0,5.6156,3.0,22.7446,1.0,553.0,29.9062,0.0,223.9831,0.0,5986.0
androidannotations,962,28796,29.9335,11.0,59.3234,5.9906,4.0,6.4346,0.0,91.0,1.7162,1.0,0.928,1.0,10.0,26.1247,1.0,213.2865,0.0,4131.0
javapoet,99,7543,76.1919,17.0,126.6431,4.5152,2.0,5.9202,0.0,28.0,1.1515,1.0,0.6122,1.0,5.0,129.2929,0.0,749.2441,0.0,7354.0
VirtualApp,1420,46624,32.8338,8.0,87.0249,3.8324,2.0,5.2794,0.0,58.0,2.588,2.0,11.2711,1.0,303.0,15.6113,0.0,114.8095,0.0,2581.0
clojure,917,46854,51.0949,3.0,255.9155,3.5998,0.0,7.8743,0.0,101.0,1.4951,1.0,2.3427,1.0,48.0,130.2072,0.0,1974.7447,0.0,48504.0
Java-WebSocket,262,13166,50.2519,19.0,96.4626,3.5916,2.0,4.1602,0.0,34.0,1.8168,1.0,1.3493,1.0,7.0,37.0573,6.0,184.2293,0.0,1923.0
SmarterStreaming,167,10243,61.3353,12.0,197.9808,3.8263,2.0,7.1127,0.0,56.0,1.0539,1.0,0.2265,1.0,2.0,73.7605,0.0,513.6703,0.0,4560.0
vlayout,159,14042,88.3145,13.0,198.9899,5.3145,3.0,6.7149,0.0,44.0,1.8553,1.0,1.4919,1.0,7.0,72.5409,0.0,368.4281,0.0,3912.0
android-async-http,154,7620,49.4805,25.0,76.1313,5.6623,4.0,6.1508,0.0,50.0,1.7857,1.0,1.0784,1.0,5.0,45.8766,3.0,293.7046,0.0,3536.0
